video_id,match_id,rally_interval_id,start_frame,end_frame,start_time_sec,end_time_sec,duration_sec,sample_count,accepted,reject_reason
38,38,103,91140,91500,3038.0,3050.0,12.0,12,True,
38,38,104,93300,93930,3110.0,3131.0,21.0,21,True,
38,38,105,94230,94650,3141.0,3155.0,14.0,14,True,
38,38,106,95130,95220,3171.0,3174.0,3.0,3,True,
38,38,107,95370,95790,3179.0,3193.0,14.0,14,True,
38,38,108,96480,96780,3216.0,3226.0,10.0,10,True,
38,38,109,97530,98070,3251.0,3269.0,18.0,18,True,
38,38,110,98370,98610,3279.0,3287.0,8.0,8,True,
38,38,111,98880,99150,3296.0,3305.0,9.0,9,True,
38,38,112,99420,99750,3314.0,3325.0,11.0,11,True,
38,38,113,99930,100200,3331.0,3340.0,9.0,9,True,
38,38,114,100470,100800,3349.0,3360.0,11.0,11,True,
38,38,115,101220,102120,3374.0,3404.0,30.0,30,True,
38,38,116,102540,103380,3418.0,3446.0,28.0,28,True,
38,38,117,104430,104820,3481.0,3494.0,13.0,13,True,
38,38,118,105270,105690,3509.0,3523.0,14.0,14,True,
38,38,119,105900,106200,3530.0,3540.0,10.0,10,True,
38,38,120,106380,106710,3546.0,3557.0,11.0,11,True,
38,38,121,107130,107940,3571.0,3598.0,27.0,27,True,
38,38,122,108660,109440,3622.0,3648.0,26.0,26,True,
38,38,123,110040,111150,3668.0,3705.0,37.0,37,True,
