video_id,rally_id,event_rank,event_frame_original,prev_event_frame_original,next_event_frame_original,window_start_original,window_end_original,event_offset_frames,frame_count,window_strategy,clip_id,reference_frame_count,frame_count_abs_error
40,13,13,19352,19316,19379,19334,19366,18,33,midpoint,40_1_11_13,71,38
40,13,14,19379,19352,19414,19366,19396,13,31,midpoint,40_1_11_14,69,38
40,13,15,19414,19379,19425,19396,19420,18,25,midpoint,40_1_11_15,54,29
40,13,16,19425,19414,,19420,19500,5,81,midpoint,40_1_11_16,27,54
40,14,1,19937,,19996,19860,19966,77,107,midpoint,40_1_12_1,68,39
40,14,2,19996,19937,20014,19966,20005,30,40,midpoint,40_1_12_2,70,30
40,14,3,20014,19996,20040,20005,20027,9,23,midpoint,40_1_12_3,52,29
40,14,4,20040,20014,20076,20027,20058,13,32,midpoint,40_1_12_4,70,38
40,14,5,20076,20040,20102,20058,20089,18,32,midpoint,40_1_12_5,70,38
40,14,6,20102,20076,20120,20089,20111,13,23,midpoint,40_1_12_6,51,28
40,14,7,20120,20102,20146,20111,20133,9,23,midpoint,40_1_12_7,51,28
40,14,8,20146,20120,20180,20133,20163,13,31,midpoint,40_1_12_8,68,37
40,14,9,20180,20146,20221,20163,20200,17,38,midpoint,40_1_12_9,82,44
40,14,10,20221,20180,20259,20200,20240,21,41,midpoint,40_1_12_10,87,46
40,14,11,20259,20221,20304,20240,20282,19,43,midpoint,40_1_12_11,90,47
40,14,12,20304,20259,,20282,20400,22,119,midpoint,40_1_12_12,60,59
40,15,1,20881,,20906,20880,20894,1,15,midpoint,40_1_13_1,48,33
40,15,2,20906,20881,20943,20894,20924,12,31,midpoint,40_1_13_2,70,39
40,15,3,20943,20906,20971,20924,20957,19,34,midpoint,40_1_13_3,72,38
40,15,4,20971,20943,,20957,21120,14,164,midpoint,40_1_13_4,43,121
40,16,1,21758,,21817,21750,21788,8,39,midpoint,40_1_14_1,68,29
40,16,2,21817,21758,21841,21788,21829,29,42,midpoint,40_1_14_2,76,34
40,16,3,21841,21817,21874,21829,21858,12,30,midpoint,40_1_14_3,64,34
40,16,4,21874,21841,21885,21858,21880,16,23,midpoint,40_1_14_4,52,29
40,16,5,21885,21874,21912,21880,21898,5,19,midpoint,40_1_14_5,45,26
40,16,6,21912,21885,21946,21898,21929,14,32,midpoint,40_1_14_6,68,36
40,16,7,21946,21912,21968,21929,21957,17,29,midpoint,40_1_14_7,64,35
40,16,8,21968,21946,21996,21957,21982,11,26,midpoint,40_1_14_8,58,32
40,16,9,21996,21968,,21982,22080,14,99,midpoint,40_1_14_9,44,55
40,17,1,22450,,22466,22440,22458,10,19,midpoint,40_1_15_2,69,50
40,17,2,22466,22450,22497,22458,22482,8,25,midpoint,40_1_15_3,54,29
