video_id,rally_id,event_rank,event_frame_original,prev_event_frame_original,next_event_frame_original,window_start_original,window_end_original,event_offset_frames,frame_count,window_strategy,clip_id,reference_frame_count,frame_count_abs_error
40,13,10,19252,19229,19281,19229,19287,23,59,bst-compatible,40_1_11_10,60,1
40,13,11,19281,19252,19316,19252,19322,29,71,bst-compatible,40_1_11_11,72,1
40,13,12,19316,19281,19352,19281,19358,35,78,bst-compatible,40_1_11_12,79,1
40,13,13,19352,19316,19379,19316,19385,36,70,bst-compatible,40_1_11_13,71,1
40,13,14,19379,19352,19414,19352,19420,27,69,bst-compatible,40_1_11_14,69,0
40,13,15,19414,19379,19425,19379,19431,35,53,bst-compatible,40_1_11_15,54,1
40,13,16,19425,19414,,19414,19439,11,26,bst-compatible,40_1_11_16,27,1
40,14,1,19937,,19996,19922,19988,15,67,bst-compatible,40_1_12_1,68,1
40,14,2,19996,19937,20014,19951,20020,45,70,bst-compatible,40_1_12_2,70,0
40,14,3,20014,19996,20040,19996,20046,18,51,bst-compatible,40_1_12_3,52,1
40,14,4,20040,20014,20076,20014,20082,26,69,bst-compatible,40_1_12_4,70,1
40,14,5,20076,20040,20102,20040,20108,36,69,bst-compatible,40_1_12_5,70,1
40,14,6,20102,20076,20120,20076,20126,26,51,bst-compatible,40_1_12_6,51,0
40,14,7,20120,20102,20146,20102,20152,18,51,bst-compatible,40_1_12_7,51,0
40,14,8,20146,20120,20180,20120,20186,26,67,bst-compatible,40_1_12_8,68,1
40,14,9,20180,20146,20221,20146,20227,34,82,bst-compatible,40_1_12_9,82,0
40,14,10,20221,20180,20259,20180,20265,41,86,bst-compatible,40_1_12_10,87,1
40,14,11,20259,20221,20304,20221,20310,38,90,bst-compatible,40_1_12_11,90,0
40,14,12,20304,20259,,20259,20318,45,60,bst-compatible,40_1_12_12,60,0
40,15,1,20881,,20906,20866,20912,15,47,bst-compatible,40_1_13_1,48,1
40,15,2,20906,20881,20943,20881,20949,25,69,bst-compatible,40_1_13_2,70,1
40,15,3,20943,20906,20971,20906,20977,37,72,bst-compatible,40_1_13_3,72,0
40,15,4,20971,20943,,20943,20985,28,43,bst-compatible,40_1_13_4,43,0
40,16,1,21758,,21817,21743,21809,15,67,bst-compatible,40_1_14_1,68,1
40,16,2,21817,21758,21841,21772,21847,45,76,bst-compatible,40_1_14_2,76,0
40,16,3,21841,21817,21874,21817,21880,24,64,bst-compatible,40_1_14_3,64,0
40,16,4,21874,21841,21885,21841,21891,33,51,bst-compatible,40_1_14_4,52,1
40,16,5,21885,21874,21912,21874,21918,11,45,bst-compatible,40_1_14_5,45,0
40,16,6,21912,21885,21946,21885,21952,27,68,bst-compatible,40_1_14_6,68,0
40,16,7,21946,21912,21968,21912,21974,34,63,bst-compatible,40_1_14_7,64,1
40,16,8,21968,21946,21996,21946,22002,22,57,bst-compatible,40_1_14_8,58,1
40,16,9,21996,21968,,21968,22010,28,43,bst-compatible,40_1_14_9,44,1
40,17,1,22450,,22466,22435,22472,15,38,bst-compatible,40_1_15_2,69,31
40,17,2,22466,22450,22497,22450,22503,16,54,bst-compatible,40_1_15_3,54,0
40,17,3,22497,22466,22532,22466,22538,31,73,bst-compatible,40_1_15_4,74,1
40,17,4,22532,22497,22568,22497,22574,35,78,bst-compatible,40_1_15_5,79,1
40,17,5,22568,22532,,22532,22582,36,51,bst-compatible,40_1_15_6,51,0
40,18,1,22954,,23020,22939,23005,15,67,bst-compatible,40_1_16_1,67,0
40,18,2,23020,22954,,22975,23034,45,60,bst-compatible,40_1_16_2,60,0
40,19,1,23508,,23525,23493,23531,15,39,bst-compatible,40_1_17_2,69,30
40,19,2,23525,23508,23554,23508,23560,17,53,bst-compatible,40_1_17_3,53,0
40,19,3,23554,23525,23585,23525,23591,29,67,bst-compatible,40_1_17_4,68,1
40,19,4,23585,23554,23613,23554,23619,31,66,bst-compatible,40_1_17_5,67,1
40,19,5,23613,23585,23663,23585,23664,28,80,bst-compatible,40_1_17_6,81,1
40,19,6,23663,23613,23698,23618,23704,45,87,bst-compatible,40_1_17_7,87,0
40,19,7,23698,23663,23718,23663,23724,35,62,bst-compatible,40_1_17_8,63,1
40,19,8,23718,23698,,23698,23732,20,35,bst-compatible,40_1_17_9,36,1
40,20,1,24162,,24221,24147,24213,15,67,bst-compatible,40_1_18_1,67,0
40,20,2,24221,24162,24237,24176,24243,45,68,bst-compatible,40_1_18_2,69,1
40,20,3,24237,24221,24266,24221,24272,16,52,bst-compatible,40_1_18_3,53,1
40,20,4,24266,24237,24298,24237,24304,29,68,bst-compatible,40_1_18_4,68,0
40,20,5,24298,24266,24655,24266,24349,32,84,bst-compatible,40_1_18_5,48,36
40,20,6,24655,24298,24712,24610,24706,45,97,bst-compatible,40_1_19_1,67,30
40,20,7,24712,24655,24738,24667,24744,45,78,bst-compatible,40_1_19_2,79,1
40,20,8,24738,24712,24776,24712,24782,26,71,bst-compatible,40_1_19_3,72,1
40,20,9,24776,24738,24804,24738,24810,38,73,bst-compatible,40_1_19_4,73,0
40,20,10,24804,24776,24835,24776,24841,28,66,bst-compatible,40_1_19_5,67,1
40,20,11,24835,24804,24859,24804,24865,31,62,bst-compatible,40_1_19_6,62,0
40,20,12,24859,24835,24873,24835,24879,24,45,bst-compatible,40_1_19_7,45,0
