video_id,rally_id,event_rank,event_frame_local,event_frame_original,window_start_local,window_end_local,window_start_original,window_end_original,context_start_original,context_end_original,prev_event_frame_original,next_event_frame_original
40,16,3,91,21841,79,108,21829,21858,21826,21856,21817,21874
40,16,4,124,21874,108,130,21858,21880,21859,21889,21841,21885
40,16,5,135,21885,130,148,21880,21898,21870,21900,21874,21912
40,16,6,162,21912,148,179,21898,21929,21897,21927,21885,21946
40,16,7,196,21946,179,207,21929,21957,21931,21961,21912,21968
40,16,8,218,21968,207,232,21957,21982,21953,21983,21946,21996
40,16,9,246,21996,232,330,21982,22080,21981,22011,21968,
40,17,1,10,22450,0,18,22440,22458,22440,22465,,22466
40,17,2,26,22466,18,42,22458,22482,22451,22481,22450,22497
40,17,3,57,22497,42,74,22482,22514,22482,22512,22466,22532
40,17,4,92,22532,74,110,22514,22550,22517,22547,22497,22568
40,17,5,128,22568,110,270,22550,22710,22553,22583,22532,
40,18,1,4,22954,0,37,22950,22987,22950,22969,,23020
40,18,2,70,23020,37,420,22987,23370,23005,23035,22954,
40,19,1,48,23508,0,56,23460,23516,23493,23523,,23525
40,19,2,65,23525,56,80,23516,23540,23510,23540,23508,23554
40,19,3,94,23554,80,110,23540,23570,23539,23569,23525,23585
40,19,4,125,23585,110,139,23570,23599,23570,23600,23554,23613
40,19,5,153,23613,139,178,23599,23638,23598,23628,23585,23663
40,19,6,203,23663,178,220,23638,23680,23648,23678,23613,23698
40,19,7,238,23698,220,248,23680,23708,23683,23713,23663,23718
40,19,8,258,23718,248,360,23708,23820,23703,23733,23698,
40,20,1,72,24162,0,102,24090,24192,24147,24177,,24221
40,20,2,131,24221,102,139,24192,24229,24206,24236,24162,24237
40,20,3,147,24237,139,162,24229,24252,24222,24252,24221,24266
40,20,4,176,24266,162,192,24252,24282,24251,24281,24237,24298
40,20,5,208,24298,192,386,24282,24476,24283,24313,24266,24655
40,20,6,565,24655,386,594,24476,24684,24640,24670,24298,24712
40,20,7,622,24712,594,635,24684,24725,24697,24727,24655,24738
40,20,8,648,24738,635,667,24725,24757,24723,24753,24712,24776
40,20,9,686,24776,667,700,24757,24790,24761,24791,24738,24804
40,20,10,714,24804,700,730,24790,24820,24789,24819,24776,24835
40,20,11,745,24835,730,757,24820,24847,24820,24850,24804,24859
40,20,12,769,24859,757,776,24847,24866,24844,24874,24835,24873
40,20,13,783,24873,776,900,24866,24990,24858,24888,24859,
40,21,1,6,25416,0,180,25410,25590,25410,25431,,
40,22,1,22,25822,0,120,25800,25920,25807,25837,,
40,23,1,201,27771,0,229,27570,27799,27756,27786,,27827
40,23,2,257,27827,229,270,27799,27840,27812,27842,27771,27853
40,23,3,283,27853,270,298,27840,27868,27838,27868,27827,27884
40,23,4,314,27884,298,450,27868,28020,27869,27899,27853,
40,24,1,241,28651,0,253,28410,28663,28636,28666,,28675
40,24,2,265,28675,253,278,28663,28688,28660,28690,28651,28702
40,24,3,292,28702,278,319,28688,28729,28687,28717,28675,28756
40,24,4,346,28756,319,365,28729,28775,28741,28771,28702,28794
40,24,5,384,28794,365,400,28775,28810,28779,28809,28756,28826
40,24,6,416,28826,400,430,28810,28840,28811,28841,28794,28854
40,24,7,444,28854,430,466,28840,28876,28839,28869,28826,28899
40,24,8,489,28899,466,502,28876,28912,28884,28914,28854,28925
40,24,9,515,28925,502,630,28912,29040,28910,28940,28899,
40,25,1,5,29465,0,34,29460,29494,29460,29480,,29524
40,25,2,64,29524,34,150,29494,29610,29509,29539,29465,
40,26,1,70,29920,0,82,29850,29932,29905,29935,,29945
40,26,2,95,29945,82,110,29932,29960,29930,29960,29920,29976
40,26,3,126,29976,110,134,29960,29984,29961,29991,29945,29993
40,26,4,143,29993,134,156,29984,30006,29978,30008,29976,30019
40,26,5,169,30019,156,270,30006,30120,30004,30034,29993,
40,27,1,16,30466,0,30,30450,30480,30451,30481,,30495
40,27,2,45,30495,30,52,30480,30502,30480,30510,30466,30508
40,27,3,58,30508,52,74,30502,30524,30493,30523,30495,30540
40,27,4,90,30540,74,96,30524,30546,30525,30555,30508,30553
40,27,5,103,30553,96,116,30546,30566,30538,30568,30540,30580
40,27,6,130,30580,116,137,30566,30587,30565,30595,30553,30594
40,27,7,144,30594,137,157,30587,30607,30579,30609,30580,30620
40,27,8,170,30620,157,184,30607,30634,30605,30635,30594,30647
40,27,9,197,30647,184,300,30634,30750,30632,30662,30620,
40,28,1,46,31246,0,53,31200,31253,31231,31261,,31260
40,28,2,60,31260,53,70,31253,31270,31245,31275,31246,31281
40,28,3,81,31281,70,98,31270,31298,31266,31296,31260,31315
40,28,4,115,31315,98,131,31298,31331,31300,31330,31281,31347
40,28,5,147,31347,131,164,31331,31364,31332,31362,31315,31381
40,28,6,181,31381,164,193,31364,31393,31366,31396,31347,31405
40,28,7,205,31405,193,221,31393,31421,31390,31420,31381,31437
40,28,8,237,31437,221,264,31421,31464,31422,31452,31405,31490
40,28,9,290,31490,264,300,31464,31500,31475,31505,31437,31510
40,28,10,310,31510,300,324,31500,31524,31495,31525,31490,31539
40,28,11,339,31539,324,354,31524,31554,31524,31554,31510,31568
40,28,12,368,31568,354,450,31554,31650,31553,31583,31539,
40,29,1,47,32147,0,150,32100,32250,32132,32162,,
40,30,1,74,32474,0,102,32400,32502,32459,32489,,32529
40,30,2,129,32529,102,136,32502,32536,32514,32544,32474,32544
40,30,3,144,32544,136,160,32536,32560,32529,32559,32529,32576
40,30,4,176,32576,160,184,32560,32584,32561,32591,32544,32593
40,30,5,193,32593,184,205,32584,32605,32578,32608,32576,32617
40,30,6,217,32617,205,232,32605,32632,32602,32632,32593,32646
40,30,7,246,32646,232,250,32632,32650,32631,32661,32617,32655
40,30,8,255,32655,250,432,32650,32832,32640,32670,32646,33009
40,30,9,609,33009,432,637,32832,33037,32994,33024,32655,33065
40,30,10,665,33065,637,677,33037,33077,33050,33080,33009,33089
40,30,11,689,33089,677,704,33077,33104,33074,33104,33065,33118
40,30,12,718,33118,704,723,33104,33123,33103,33133,33089,33128
40,30,13,728,33128,723,742,33123,33142,33113,33143,33118,33155
40,30,14,755,33155,742,766,33142,33166,33140,33170,33128,33177
40,30,15,777,33177,766,791,33166,33191,33162,33192,33155,33205
40,30,16,805,33205,791,812,33191,33212,33190,33220,33177,33218
40,30,17,818,33218,812,833,33212,33233,33203,33233,33205,33248
40,30,18,848,33248,833,863,33233,33263,33233,33263,33218,33278
40,30,19,878,33278,863,903,33263,33303,33263,33293,33248,33328
40,30,20,928,33328,903,1020,33303,33420,33313,33343,33278,
40,31,1,189,33729,0,211,33540,33751,33714,33744,,33773
